label,score,id_a,id_b,name_a,name_b,artist_a,artist_b,release-date_a,release-date_b,release-country_a,release-country_b
1,0.956,discogs_58199,mbrainz_12656,Daydreamer,Daydreamer,Youngteam,Youngteam,2011-03-01,2011-03,UK,United Kingdom of Great Britain and Northern Ireland
1,0.975,discogs_54232,mbrainz_11846,Ghost Stories,Ghost Stories,Silent Civilian,Silent Civilian,2010,2010-05-18,United States of America,United States of America
1,0.988,discogs_9237,mbrainz_2050,Sex And Wildflowers,Sex and Wildflowers,Sieben,Sieben,2003-09-01,2003-09,Germany,Germany
1,1.0,discogs_65548,mbrainz_14076,The Black Metal Flame,The Black Metal Flame,Decayed,Decayed,2008-09-01,2008-09-01,Spain,Spain
1,1.0,discogs_10631,mbrainz_2433,Voodoo Chic,Voodoo Chic,Helicopter Girl,Helicopter Girl,2005-07-26,2005-07-26,United States of America,United States of America
1,1.0,discogs_5,mbrainz_3,The Sign's Alive,The Sign's Alive,Lypid,Lypid,2000-09-05,2000-09-05,United States of America,United States of America
1,0.975,discogs_2706,mbrainz_609,United,United,Phoenix,Phoenix,2000,2000-11-19,United States of America,United States of America
1,1.0,discogs_44619,mbrainz_9908,Hidden Trains Of Pippuri,Hidden Trains of Pippuri,Psilodump,Psilodump,2009-12-08,2009-12-08,Sweden,Sweden
1,0.975,discogs_68513,mbrainz_14605,Happiness,Happiness,Dance Gavin Dance,Dance Gavin Dance,2009,2009-06-09,United States of America,United States of America
1,0.988,discogs_1992,mbrainz_495,Tripped Experiences,Tripped Experiences,Substanz T,Substanz T,2001-02-01,2001-02,Germany,Germany
1,0.975,discogs_48010,mbrainz_10590,J'respire Encore,J'respire encore,Papaz,Papaz,2005,2005-05-17,Canada,Canada
1,0.982,discogs_119605,mbrainz_21122,Hidden Memories,Hidden Memories,Escapist,Escapist,2013,2013-09,Argentina,Argentina
1,1.0,discogs_75325,mbrainz_15301,Fallen Empires,Fallen Empires,Snow Patrol,Snow Patrol,2012-01-10,2012-01-10,United States of America,United States of America
1,0.975,discogs_134445,mbrainz_23393,The Megalomania Puzzle,The Megalomania Puzzle,Mefisto,Mefisto,2014,2014-06-13,Netherlands,Netherlands
1,0.975,discogs_712,mbrainz_237,Happiness,Happiness,Sound De-Zign,Sound De-Zign,2001,2001-01-01,Germany,Germany
1,0.975,discogs_42500,mbrainz_9467,Planetary Empire,Planetary Empire,Absurd Minds,Absurd Minds,1996,1996-01-01,Germany,Germany
1,1.0,discogs_145276,mbrainz_25191,Obscure The Future,Obscure the Future,Somatic Responses,Somatic Responses,2014-09-21,2014-09-21,UK,
1,0.975,discogs_169896,mbrainz_29254,Mezzanines,Mezzanines,Mezzanines,Mezzanines,1996,1996-01-01,United States of America,United States of America
1,1.0,discogs_73117,mbrainz_6853,Beyond The Path,Beyond The Path,Eastenders,Eastenders,2007,,Germany,
1,0.975,discogs_19183,mbrainz_4498,Opiate,Opiate,Superikone,Superikone,2003,2003-01-01,Germany,Germany
1,1.0,discogs_46941,mbrainz_10391,Art Of Life Live,Art of life live,X Japan,X JAPAN,1998-03-18,1998-03-18,Japan,Japan
1,0.975,discogs_26807,mbrainz_6139,Resurrection Day,Resurrection Day,White Zombie,White Zombie,1993,1993-01-01,Italy,Italy
1,1.0,discogs_107434,mbrainz_2754,Monster,Monster,Steppenwolf,Steppenwolf,2013-04-24,2013-04-24,Japan,Japan
1,0.975,discogs_327,mbrainz_147,Disco Damnation,Disco Damnation,Wicked,Wicked,1996,1996-12-09,Netherlands,Netherlands
1,1.0,discogs_15819,mbrainz_3686,State Of Absolution,State of Absolution,Halthan,Halthan,2006-05-23,2006-05-23,Finland,Finland
1,0.975,discogs_110142,mbrainz_19745,The Evocation Of The Unseen,The Evocation of the Unseen,Fear Of Eternity,Fear of Eternity,2013,2013-01-01,Argentina,Argentina
1,1.0,discogs_19556,mbrainz_20423,How The West Was Won,How The West Was Won,No Man,No Man,1991,,United States of America,
1,0.975,discogs_13543,mbrainz_3115,Confessor,Confessor,Confessor,Confessor,1992,1992-06-23,United States of America,United States of America
1,0.975,discogs_29288,mbrainz_6652,Building An Empire,Building an Empire,Demians,Demians,2008,2008-05-16,Germany,Germany
1,0.975,discogs_52197,mbrainz_4061,Troubled Land,Troubled Land,King Loser,King Loser,1996,1996-01-01,New Zealand,New Zealand
1,0.982,discogs_6984,mbrainz_1447,Parallel Lifeforms,Parallel Lifeforms,Neuroactive,Neuroactive,1998,1998-12,United States of America,United States of America
1,0.998,discogs_61057,mbrainz_10944,"Glee: The Music, Volume 3 Showstoppers","Glee: The Music, Volume 3: Showstoppers",Glee Cast,Glee Cast,2010-05-18,2010-05-18,United States of America,United States of America
1,1.0,discogs_18868,mbrainz_1092,Dangerous,Dangerous,Busta Rhymes,Busta Rhymes,,1997-01-01,,
1,0.975,discogs_12636,mbrainz_2916,Singles,Singles,Broder Daniel,Broder Daniel,1999,1999-01-01,Sweden,Sweden
1,0.975,discogs_68472,mbrainz_14600,The Music Of Erich Zann,The Music of Erich Zann,Mekong Delta,Mekong Delta,1988,1988-01-01,United States of America,United States of America
1,1.0,discogs_138,mbrainz_62,The Call Of The Confuciusornis Remixes,The Call of the Confuciusornis Remixes,Sculpturism,Sculpturism,2001-01-01,2001-01-01,Netherlands,Netherlands
1,1.0,discogs_22493,mbrainz_5227,Embrace The Fool,Embrace the Fool,Poets To Their Beloved,Poets to Their Beloved,2007-09-28,2007-09-28,Portugal,Portugal
1,0.975,discogs_15250,mbrainz_3545,Voodoobabbbel,Voodoobabbbel,Badesalz,Badesalz,1999,1999-10-11,Germany,Germany
1,0.975,discogs_893,mbrainz_295,Outside,Outside,Omar,Omar,1994,1994-01-01,Germany,Germany
1,0.975,discogs_92633,mbrainz_1952,Middle Of Nowhere,Middle of Nowhere,Hanson,Hanson,1997,1997-05-06,United States of America,United States of America
1,0.992,discogs_18489,mbrainz_4330,Friend And Foe,Friend and Foe,Menomena,Menomena,2007-01-26,2007-01-23,United States of America,United States of America
1,1.0,discogs_32283,mbrainz_7217,Fallen Star,Fallen Star,CJ Stone,CJ Stone,2008-09-05,2008-09-05,Germany,Germany
1,0.986,discogs_75826,mbrainz_15750,United We Fall,United We Fall,League Of Infinite Justice,League of Infinite Justice,2007-09-01,2007-09,,
1,0.975,discogs_12233,mbrainz_2035,Nightmare Voices,Nightmare Voices,Another Tale,Another Tale,1992,1992-01-01,Germany,Germany
1,1.0,discogs_3465,mbrainz_755,Like Water For Chocolate,Like Water for Chocolate,Common,Common,2000-03-28,2000-03-28,United States of America,United States of America
1,1.0,discogs_23138,mbrainz_5347,Defective Epitaph,Defective Epitaph,Xasthur,Xasthur,2007-09-25,2007-09-25,United States of America,United States of America
1,1.0,discogs_67084,mbrainz_14341,Soft Metals,Soft Metals,Soft Metals,Soft Metals,2011-07-19,2011-07-19,United States of America,United States of America
1,0.975,discogs_1341,mbrainz_387,Jazz Ascension,Jazz Ascension,95 North,95 North,1998,1998-01-01,United States of America,United States of America
1,0.975,discogs_82334,mbrainz_16471,Warchants From The Woods,Warchants From the Woods,Cyhiriaeth,Cyhiriaeth,2006-09-28,2006-10-13,Germany,Germany
1,0.975,discogs_5063,mbrainz_1061,Absence,Absence,In Absentia,In Absentia,1993,1993-01-01,Denmark,Denmark
1,0.983,discogs_165652,mbrainz_24546,Another Language,Another Language,This Will Destroy You,This Will Destroy You,2014-07-01,2014-09-16,United States of America,United States of America
1,1.0,discogs_10599,mbrainz_2428,Tales Beyond The Unknown,Tales Beyond the Unknown,Acropod,Acropod,2005-05-25,2005-05-25,Greece,Greece
1,0.975,discogs_13642,mbrainz_3142,City Of The Broken Wheelchairs,City of the Broken Wheelchairs,N.,N.,2005,2005-01-01,Italy,Italy
1,0.975,discogs_1997,mbrainz_498,The Broken Sequencer,The Broken Sequencer,Kagami,Kagami,1998,1998-01-01,Japan,Japan
1,0.982,discogs_64298,mbrainz_13866,Monsters Of Carnage,Monsters of Carnage,Mucupurulent,Mucupurulent,2010,2010-06,Germany,Germany
1,0.975,discogs_68443,mbrainz_14594,Sweet Dreams: The Encore Collection,Sweet Dreams: The Encore Collection,Air Supply,Air Supply,2001,2001-06-02,United States of America,United States of America
1,0.975,discogs_38514,mbrainz_4382,Pre-Life Crisis,Pre-Life Crisis,Count Bass D,Count Bass D,1995,1995-09-25,United States of America,United States of America
1,1.0,discogs_99,mbrainz_39,Soundtracks For Broken Video Games,Soundtracks for Broken Video Games,S.I.N.E. W.A.V.E.,S.I.N.E. W.A.V.E.,2000-01-01,2000-01-01,United States of America,United States of America
1,1.0,discogs_41489,mbrainz_9235,In Absentia,In Absentia,Geche,Geche,2009-10-16,2009-10-16,,
1,0.975,discogs_41895,mbrainz_9340,Infestation,Infestation,Ratt,Ratt,1999,1999-01-01,United States of America,United States of America
1,0.983,discogs_168588,mbrainz_29002,Gemini,Gemini,Safety Scissors,Safety Scissors,2014-04-04,2014-04-18,Germany,Germany
1,1.0,discogs_23515,mbrainz_5431,Contrast,Contrast,Joker Juice,Joker Juice,2007-10-25,2007-10-25,Italy,Italy
1,0.975,discogs_163380,mbrainz_28141,"Dreaming Of Going Nowhere, Thinking Of Doing Nothing","Dreaming of Going Nowhere, Thinking of Doing Nothing",Coffee Rage,Coffee Rage,2008,2008-01-01,New Zealand,New Zealand
1,0.975,discogs_47281,mbrainz_10465,Alice Au Pays Des Merveilles,Alice au pays des merveilles,Klimperei,Klimperei,2000,2000-01-01,France,France
1,0.975,discogs_26010,mbrainz_5964,DWYCK / Flip The Script,DWYCK / Flip the Script,Gang Starr,Gang Starr,1992,1992-01-01,United States of America,United States of America
1,1.0,discogs_36870,mbrainz_2750,The Rising Tied,The Rising Tied,Fort Minor,Fort Minor,2005-11-22,2005-11-22,United States of America,United States of America
1,0.975,discogs_75939,mbrainz_11022,Marry Me Jane,Marry Me Jane,Marry Me Jane,Marry Me Jane,1996,1996-01-30,United States of America,United States of America
1,1.0,discogs_106507,mbrainz_16538,Graveyard Of Empires,Graveyard of Empires,Evans Blue,Evans Blue,2012-04-17,2012-04-17,United States of America,United States of America
1,0.975,discogs_5126,mbrainz_1082,Echoes In The Emptiness,Echoes in the Emptiness,Exuviae,Exuviae,2000,2000-01-01,United States of America,United States of America
1,0.975,discogs_2669,mbrainz_604,Electronic Underground,Electronic Underground,Megaptera,Megaptera,2000,2000-01-01,Italy,Italy
1,0.975,discogs_36672,mbrainz_1593,Through Silver In Blood,Through Silver in Blood,Neurosis,Neurosis,1996,1996-04-12,Germany,Germany
1,1.0,discogs_42882,mbrainz_9538,New Moon,New Moon,Swallow The Sun,Swallow the Sun,2009-11-04,2009-11-04,Finland,Finland
1,0.975,discogs_51791,mbrainz_11353,Show Time / Visions Of The Lite,Show Time / Visions of the Lite,Slave,Slave,2005,2005-01-01,United States of America,United States of America
1,0.988,discogs_8151,mbrainz_1725,Sounds From Beyond The Silver Wheel,Sounds From Beyond the Silver Wheel,Dark Muse,Dark Muse,2002-03-01,2002-03,United States of America,United States of America
1,1.0,discogs_14081,mbrainz_3245,Nightmares,Nightmares,Goreghast,Goreghast,2006-04-10,2006-04-10,Poland,Poland
1,1.0,discogs_41860,mbrainz_9327,Absence,Absence,Paper Route,Paper Route,2009-04-28,2009-04-28,United States of America,United States of America
1,1.0,discogs_161924,mbrainz_27893,Cocoon -Fallen-,COCOON -Fallen-,Schwarz Stein,Schwarz Stein,2014-07-02,2014-07-02,Japan,Japan
1,0.996,discogs_123395,mbrainz_21704,"O Barche Che Bramate La Tempesta, Come Questo Porto È Tranquillo","O barche che bramate la tempesta, come questo porto Ã¨ tranquillo",Hofame,Hofame,2014-02-02,2014-02-02,Italy,Italy
1,1.0,discogs_103459,mbrainz_19059,Purple Line,Purple Line,Devecly Bitte,Devecly Bitte,2013-03-29,2013-03-29,Turkey,
1,0.975,discogs_12611,mbrainz_2907,Listen. Experience. Connect.,Listen. Experience. Connect.,Mephisto Odyssey,Mephisto Odyssey,2000,2000-01-01,United States of America,United States of America
1,0.975,discogs_10329,mbrainz_2348,Star Wars Breakbeats,Star Wars Breakbeats,Supergenius,Supergenius,1998,1998-01-01,United States of America,United States of America
1,1.0,discogs_12592,mbrainz_2902,Night Currents,Night Currents,Milieu,Milieu,2006-01-01,2006-01-01,Belgium,Belgium
1,1.0,discogs_8610,mbrainz_1879,The Man Who Loved Beer,The Man Who Loved Beer,Lambchop,Lambchop,1996,,UK,
1,0.984,discogs_35477,mbrainz_7916,The Confusion Of A.J. Schicksal 1927-1973,"The Confusion of A.J. Schiksal, 1927-1973",Mitsoobishy Jacson,Mitsoobishy Jacson,2009-03-01,2009-03,Belgium,Belgium
1,1.0,discogs_121599,mbrainz_21028,Electronically Yours,Electronically Yours,Love?,Love?,2013-12-21,2013-12-21,Germany,Germany
1,0.975,discogs_17316,mbrainz_4046,Residual Echoes,Residual Echoes,Residual Echoes,Residual Echoes,2005,2005-01-01,United States of America,United States of America
1,0.975,discogs_8866,mbrainz_1957,The Greatest Story Never Told,The Greatest Story Never Told,Shyheim,Shyheim,2004,2004-01-01,United States of America,United States of America
1,0.988,discogs_8146,mbrainz_1721,Beyond The Congo,Beyond the Congo,Legowelt,Legowelt,2005-01-01,2005-01,Netherlands,Netherlands
1,0.992,discogs_12337,mbrainz_2835,Audioslave,Audioslave,Audioslave,Audioslave,2002-11-18,2002-11-15,Australia,Australia
1,0.983,discogs_29377,mbrainz_6678,Shelter,Shelter,Rasa,Rasa,2003-09-02,2003-01-01,United States of America,United States of America
1,1.0,discogs_118650,mbrainz_13645,Until We Surrender,Until We Surrender,Heartsounds,Heartsounds,2010-06-15,2010-06-15,United States of America,United States of America
1,0.975,discogs_18875,mbrainz_4415,Schreit Den Namen Meiner Mutter,Schreit den Namen meiner Mutter,Tomte,Tomte,2003,2003-04-14,Germany,Germany
1,0.983,discogs_42238,mbrainz_7057,Black Ice,Black Ice,AC/DC,AC/DC,2008-10-20,2008-10-18,Australia,Australia
1,1.0,discogs_95440,mbrainz_12359,Cross Road,Cross Road,Bon Jovi,Bon Jovi,1994-10-07,1994-10-07,Japan,Japan
1,0.975,discogs_46352,mbrainz_4253,Suck It And See,Suck It and See,Candyland,Candyland,1991,1991-01-01,Netherlands,Netherlands
1,0.975,discogs_12612,mbrainz_2707,Elephant Eyelash,Elephant Eyelash,Why?,WHY?,2005-09-26,2005-10-04,United States of America,United States of America
1,1.0,discogs_36802,mbrainz_8177,Jupiter And Beyond The Infinite,Jupiter and Beyond the Infinite,Stella Interstellar,Stella Interstellar,2009-05-01,2009-05-01,United States of America,United States of America
1,1.0,discogs_5850,mbrainz_1240,Beyond Something,Beyond Something,kAzooo,kAzooo,2002-07-25,2002-07-25,Europe,
1,0.975,discogs_11907,mbrainz_2641,House Of The Rising Sun,House of the Rising Sun,Secret Tunes,Secret Tunes,2002,2002-01-01,Germany,Germany
1,0.997,discogs_145421,mbrainz_25221,Continuum Sonore Part 714,Continuum Sonore Part 7>14,Maninkari,Maninkari,2014-10-27,2014-10-27,Poland,Poland
1,0.988,discogs_41254,mbrainz_9183,Kaputt Und Glücklich,Kaputt und glÃ¼cklich,Besser,Besser,2003-07-21,2003-07-21,Germany,Germany
1,1.0,discogs_129306,mbrainz_22460,Supermodel,Supermodel,Foster The People,Foster the People,2014-03-19,2014-03-19,Japan,Japan
1,0.975,discogs_72675,mbrainz_15371,Funerals And Parties,Funerals and Parties,Lapko,Lapko,2007,2007-01-01,Finland,Finland
1,0.975,discogs_11986,mbrainz_2591,When I Was Born For The 7th Time,When I Was Born for the 7th Time,Cornershop,Cornershop,1997,1997-09-08,United States of America,United States of America
1,0.975,discogs_28378,mbrainz_6359,Optimal Contrast,Optimal Contrast,Impact Pulse,Impact Pulse,2008,2008-01-01,Hungary,Hungary
1,0.975,discogs_129260,mbrainz_6713,Binding Of The Spirit,Binding of the Spirit,Throes Of Dawn,Throes of Dawn,2000,2000-01-01,Italy,Italy
1,0.977,discogs_53166,mbrainz_11647,Fleeting Frequencies,Fleeting Frequencies,Patience Please,Patience Please,2007-08-01,2007-09,United States of America,United States of America
1,0.98,discogs_91030,mbrainz_17594,The Man Who Couldn't Stop,The Man Who Couldn't Stop (album),Caustic,Caustic,2012-10-09,2012-10-09,United States of America,United States of America
1,0.975,discogs_79952,mbrainz_16191,The Funeral,The Funeral,Orenda,Orenda,2007,2007-07-03,Germany,Germany
1,0.975,discogs_41778,mbrainz_9310,The Con Demos,The Con Demos,Tegan and Sara,Tegan and Sara,2008,2008-01-01,Canada,Canada
1,0.991,discogs_106826,mbrainz_19406,Random Access Memories,Random Access Memories,Daft Punk,Daft Punk,2013-05-21,2013-05-17,,
1,0.975,discogs_83053,mbrainz_16585,Celebration Rock,Celebration Rock,Japandroids,Japandroids,2012,2012-06-05,United States of America,United States of America
1,1.0,discogs_126024,mbrainz_22069,Michigan Left,Michigan Left,Arkells,Arkells,2011-10-18,2011-10-18,Canada,Canada
1,0.975,discogs_5302,mbrainz_1128,Electronic Satisfaction,Electronic Satisfaction,Laidback Luke,Laidback Luke,2002,2002-01-01,Netherlands,Netherlands
1,0.975,discogs_18378,mbrainz_4296,Butterfly,Butterfly,Screaming Trees,Screaming Trees,1993,1993-01-01,United States of America,United States of America
1,0.975,discogs_8132,mbrainz_1715,Keep The Faith,Keep the Faith,Black Oak Arkansas,Black Oak Arkansas,1972,1972-01-01,United States of America,United States of America
1,0.975,discogs_52864,mbrainz_11581,Empire,Empire,Black Light Discipline,Black Light Discipline,2008,2008-11-26,Finland,Finland
1,0.975,discogs_17434,mbrainz_4073,Counterparts LP,Counterparts LP,Hong Kong Counterfeit,Hong Kong Counterfeit,2004,2004-01-01,United States of America,United States of America
1,0.975,discogs_40736,mbrainz_9062,Echoes Of Yul,Echoes of Yul,Echoes Of Yul,Echoes of Yul,2009,2009-01-01,Poland,Poland
1,1.0,discogs_77067,mbrainz_15933,The Singles,The Singles,Goldfrapp,Goldfrapp,2012-02-07,2012-02-07,United States of America,United States of America
1,1.0,discogs_6296,mbrainz_1317,Temple At Dawn,Temple at Dawn,Gift Culture,Gift Culture,2004-03-15,2004-03-15,United States of America,United States of America
1,0.975,discogs_19411,mbrainz_4547,Fearless,Fearless,Lamat,Lamat,2007,2007-01-01,Germany,Germany
1,0.975,discogs_10674,mbrainz_2372,Hypnotize,Hypnotize,Qu-Zar,Qu-Zar,2000,2000-01-01,Germany,Germany
1,0.975,discogs_85320,mbrainz_16881,Elephant,Elephant,Indecadence,Indecadence,2012,2012-01-01,Ukraine,Ukraine
1,1.0,discogs_95255,mbrainz_18055,Cedar Spirits,Cedar Spirits,Cedar Spirits,Cedar Spirits,2012-10-31,2012-10-31,United States of America,United States of America
1,0.975,discogs_24929,mbrainz_3701,Crimes Of The Future,Crimes of the Future,Fr/Action,Fr/action,2002,2002-01-01,United States of America,United States of America
1,0.975,discogs_37290,mbrainz_8285,Blackbird's Echo,Blackbird's Echo,Niobe,Niobe,2009,2009-01-01,Germany,Germany
1,0.992,discogs_141431,mbrainz_24546,Another Language,Another Language,This Will Destroy You,This Will Destroy You,2014-09-01,2014-09-16,United States of America,United States of America
1,0.975,discogs_58563,mbrainz_12746,In This World And Beyond,In This World and Beyond,Narrow Pass,Narrow Pass,2009,2009-01-01,France,France
1,0.975,discogs_69191,mbrainz_14726,Chrome Locust,Chrome Locust,Chrome Locust,Chrome Locust,1999,1999-05-25,United States of America,United States of America
1,0.975,discogs_9523,mbrainz_2150,Wonder If The Snow Will Settle,Wonder If the Snow Will Settle,Clearlake,Clearlake,2005,2005-05-17,United States of America,United States of America
1,0.988,discogs_22859,mbrainz_5301,Constellation Of Tragedy,Constellation of Tragedy,LSD March,LSD March,2007-10-01,2007-11,United States of America,United States of America
1,0.975,discogs_8336,mbrainz_1792,Love For The Future,Love for the Future,Chase,Chase,1994,1994-01-01,Australia,Australia
1,1.0,discogs_24211,mbrainz_5566,Elevator,Elevator,Room 2012,Room 2012,2007-12-14,2007-12-14,Germany,Germany
1,0.975,discogs_19561,mbrainz_4592,Trouble In The Land,Trouble in the Land,Black 47,Black 47,2000,2000-01-11,United States of America,United States of America
1,0.975,discogs_6421,mbrainz_284,Let The Music Play,Let the Music Play,Shannon,Shannon,1989,1989-01-01,Germany,Germany
1,1.0,discogs_60883,mbrainz_4361,Spirits And August Light / Steal The Light,Spirits and August Light / Steal the Light,Omnium Gatherum,Omnium Gatherum,2008-11-24,2008-11-24,Poland,Poland
1,0.975,discogs_121645,mbrainz_21428,Modern Times,Modern Times,Adam Kesher,Adam Kesher,2006,2006-01-01,France,France
1,1.0,discogs_37576,mbrainz_8345,Galaxy Of Nowhere,Galaxy of Nowhere,Mondkopf,Mondkopf,2009-05-25,2009-05-25,France,France
1,1.0,discogs_34731,mbrainz_7736,Dreamland,Dreamland,Report Suspicious Activity,Report Suspicious Activity,2006-11-07,2006-11-07,United States of America,United States of America
1,1.0,discogs_73911,mbrainz_15586,Diversity,Diversity,Acid Reign,Acid Reign,2011-05-17,2011-05-17,United States of America,United States of America
1,0.975,discogs_17500,mbrainz_4091,Audiosexual Experience,Audiosexual Experience,Winha,Winha,1998,1998-01-01,Finland,Finland
1,0.975,discogs_31469,mbrainz_302,Feel The Spirit,Feel the Spirit,Harlem Sunshine,Harlem Sunshine,2002,2002-01-01,United States of America,United States of America
1,0.981,discogs_37256,mbrainz_8278,Dark Spirits / Landscape,Dark Spirits Landscape,Subotika,Subotika,2009-04-01,2009-04,United States of America,United States of America
1,1.0,discogs_111970,mbrainz_19993,Tempest,Tempest,Lycus,Lycus,2013-07-09,2013-07-09,United States of America,United States of America
1,0.975,discogs_40562,mbrainz_9028,Broken,Broken,Straight Faced,Straight Faced,1996,1996-10-30,United States of America,United States of America
1,0.975,discogs_11782,mbrainz_2704,Die Singles 84-92,Die Singles 84-92,Purple Schulz,Purple Schulz,1992,1992-12-10,Germany,Germany
1,0.975,discogs_66623,mbrainz_14267,Replicant,Replicant,Scribe Machine,Scribe Machine,2002,2002-01-01,United States of America,United States of America
1,1.0,discogs_745,mbrainz_255,Diversification EP,Diversification EP,Mooz,Mooz,2002-01-01,2002-01-01,Switzerland,Switzerland
1,0.987,discogs_33142,mbrainz_7386,Post-Apocalypse Trilogy,Post-Apocalypse Trilogy,Bloodhammer,Bloodhammer,2006-09-10,2006-01-01,Finland,Finland
0,0.983,discogs_6744,mbrainz_1399,The Broken EP,The Broken EP,i am jen,I Am Jen,2005-08-01,2005-02-15,United States of America,United States of America
0,0.981,discogs_3141,mbrainz_691,The Smart Blip Experience,The Smart Blip Experience,Waxolutionists,Waxolutionists,1999,2000-02,"Germany, Austria, & Switzerland",Germany
0,0.789,discogs_31927,mbrainz_15889,The Very Best Of The Everly Brothers,The Very Best of The Doobie Brothers,Everly Brothers,"Doobie Brothers, The",1964,2007-02-13,United States of America,United States of America
0,0.765,discogs_80849,mbrainz_16260,Submarine # 3,Submarine,Starlight Mints,"Bissonette, Gregg feat.",2000-08-22,2000-04-25,United States of America,
0,0.803,discogs_168897,mbrainz_16285,Beyond The Reef / Harbor Lights,Beyond the Mirror,Bing Crosby,Jael,,1994-01-01,United States of America,Switzerland
0,0.883,discogs_104374,mbrainz_2667,In Dreams,In Dreams,Roy Orbison,"Orbison, Roy",1987,2006-01-01,Canada,
0,0.793,discogs_55146,mbrainz_9144,Trouble With A Capital D,Trouble,Daedelus,Unwoman,2010-07-14,2008-10-03,UK,United States of America
0,0.766,discogs_60809,mbrainz_6562,Los Angeles 9/10,Los Angeles Is Burning,Ta'Raach|Eric Coleman,Bad Religion,2010-03-01,2004-01-01,Ireland,
0,0.775,discogs_4649,mbrainz_21257,Spirit Of Man,Spirit Returns,Twelve Tone,Goanna,2000,1988-11,United States of America,Australia
0,0.904,discogs_19132,mbrainz_12226,Crisis EP,Crisis,Kende,Symbyosis,2007-03-01,2000-10-22,UK,France
0,0.985,discogs_114392,mbrainz_20366,In Absence,In Absence,Weber Male Quartette,Weber Male Quartette,1911-02-01,1910-01-01,United States of America,United States of America
0,1.0,discogs_145,mbrainz_65,Electronic Fragments EP,Electronic Fragments EP,Skanfrom,Skanfrom,1999,2000-01-01,Germany,Germany
0,0.862,discogs_51157,mbrainz_12091,Broken Leg EP,Broken Record,Kraumstaff,"Cole, Lloyd",2010-07-09,2010-09-13,UK,
0,0.796,discogs_196410,mbrainz_1062,Dreamland,Dreamland,Wild Belle,"Nine, The",2016-04-15,2001-06,United States of America,United States of America
0,0.882,discogs_8237,mbrainz_1762,Dance To The Music,Dance to the Music,Lady,Lady feat.,2000,2001-01-01,Netherlands,France
0,0.777,discogs_137259,mbrainz_5511,The Deep Purple Collection,The Complete Singles Collection,Deep Purple,ABBA,,1999-11-23,Italy,Germany
0,0.864,discogs_30550,mbrainz_2200,Echoes Of The Whales,Echoes of the West,Echoes Of The Whales,Echo West,2007-06-05,2005-01-01,Italy,Germany
0,0.747,discogs_179763,mbrainz_18664,Broken Heartbeat,Broken Memories,Teddybears Sthlm,Novembers Fall,2015,2005-01-01,UK,
